index,d,size,x,y,t,temp,comptype,burnin,iterations,duration,algorithm_statistic,action_data,energy_data,difference_data,correlation_data
5367,3,4096,16,16,16,0.2,4 Metropolis Simulations,1000,409600,82,,false,true,false,false
5368,3,4096,16,16,16,0.2,2 5x16 Wilson Metropolis Simulations,1000,409600,,,false,true,false,false
5369,3,4096,16,16,16,0.21,4 Metropolis Simulations,1000,409600,82,,false,true,false,false
5370,3,4096,16,16,16,0.21,2 5x16 Wilson Metropolis Simulations,1000,409600,,,false,true,false,false
5371,3,4096,16,16,16,0.22,4 Metropolis Simulations,1000,409600,82,,false,true,false,false
5372,3,4096,16,16,16,0.22,2 5x16 Wilson Metropolis Simulations,1000,409600,,,false,true,false,false
5373,3,4096,16,16,16,0.23,4 Metropolis Simulations,1000,409600,81,,false,true,false,false
5374,3,4096,16,16,16,0.23,2 5x16 Wilson Metropolis Simulations,1000,409600,,,false,true,false,false
5375,3,4096,16,16,16,0.24,4 Metropolis Simulations,1000,409600,85,,false,true,false,false
5376,3,4096,16,16,16,0.24,2 5x16 Wilson Metropolis Simulations,1000,409600,,,false,true,false,false
5377,3,4096,16,16,16,0.25,18 Metropolis Simulations,1000,409600,81,,false,true,false,false
5378,3,4096,16,16,16,0.25,4 5x16 Wilson Metropolis Simulations,1000,409600,,,false,true,false,false
5379,3,4096,16,16,16,0.26,4 Metropolis Simulations,1000,409600,85,,false,true,false,false
5380,3,4096,16,16,16,0.26,2 5x16 Wilson Metropolis Simulations,1000,409600,,,false,true,false,false
5381,3,4096,16,16,16,0.27,4 Metropolis Simulations,1000,409600,85,,false,true,false,false
5382,3,4096,16,16,16,0.27,2 5x16 Wilson Metropolis Simulations,1000,409600,,,false,true,false,false
5383,3,4096,16,16,16,0.28,4 Metropolis Simulations,1000,409600,82,,false,true,false,false
5384,3,4096,16,16,16,0.28,2 5x16 Wilson Metropolis Simulations,1000,409600,,,false,true,false,false
5385,3,4096,16,16,16,0.29,4 Metropolis Simulations,1000,409600,80,,false,true,false,false
5386,3,4096,16,16,16,0.29,2 5x16 Wilson Metropolis Simulations,1000,409600,,,false,true,false,false
5408,3,4096,16,16,16,0.2,2 8x16 Wilson Metropolis Simulations,1000,409600,,,false,true,false,false
5410,3,4096,16,16,16,0.21,2 8x16 Wilson Metropolis Simulations,1000,409600,,,false,true,false,false
5412,3,4096,16,16,16,0.22,2 8x16 Wilson Metropolis Simulations,1000,409600,,,false,true,false,false
5414,3,4096,16,16,16,0.23,2 8x16 Wilson Metropolis Simulations,1000,409600,,,false,true,false,false
5416,3,4096,16,16,16,0.24,2 8x16 Wilson Metropolis Simulations,1000,409600,,,false,true,false,false
5418,3,4096,16,16,16,0.25,4 8x16 Wilson Metropolis Simulations,1000,409600,,,false,true,false,false
5420,3,4096,16,16,16,0.26,2 8x16 Wilson Metropolis Simulations,1000,409600,,,false,true,false,false
5422,3,4096,16,16,16,0.27,2 8x16 Wilson Metropolis Simulations,1000,409600,,,false,true,false,false
5424,3,4096,16,16,16,0.28,2 8x16 Wilson Metropolis Simulations,1000,409600,,,false,true,false,false
5426,3,4096,16,16,16,0.29,2 8x16 Wilson Metropolis Simulations,1000,409600,,,false,true,false,false
5427,3,46656,36,36,36,0.2,3 Metropolis Simulations,1000,409600,970,,false,true,false,false
5428,3,46656,36,36,36,0.2,2 18x36 Wilson Metropolis Simulations,1000,409600,,,false,true,false,false
5429,3,46656,36,36,36,0.21,3 Metropolis Simulations,1000,409600,969,,false,true,false,false
5430,3,46656,36,36,36,0.21,2 18x36 Wilson Metropolis Simulations,1000,409600,,,false,true,false,false
5431,3,46656,36,36,36,0.22,3 Metropolis Simulations,1000,409600,961,,false,true,false,false
5432,3,46656,36,36,36,0.22,2 18x36 Wilson Metropolis Simulations,1000,409600,,,false,true,false,false
5433,3,46656,36,36,36,0.23,3 Metropolis Simulations,1000,409600,961,,false,true,false,false
5434,3,46656,36,36,36,0.23,2 18x36 Wilson Metropolis Simulations,1000,409600,,,false,true,false,false
5435,3,46656,36,36,36,0.24,3 Metropolis Simulations,1000,409600,958,,false,true,false,false
5436,3,46656,36,36,36,0.24,2 18x36 Wilson Metropolis Simulations,1000,409600,,,false,true,false,false
5437,3,46656,36,36,36,0.25,37 Metropolis Simulations,1000,409600,956,,false,true,false,false
5438,3,46656,36,36,36,0.25,3 18x36 Wilson Metropolis Simulations,1000,409600,,,false,true,false,false
5439,3,46656,36,36,36,0.26,3 Metropolis Simulations,1000,409600,953,,false,true,false,false
5440,3,46656,36,36,36,0.26,2 18x36 Wilson Metropolis Simulations,1000,409600,,,false,true,false,false
5441,3,46656,36,36,36,0.27,3 Metropolis Simulations,1000,409600,945,,false,true,false,false
5442,3,46656,36,36,36,0.27,2 18x36 Wilson Metropolis Simulations,1000,409600,,,false,true,false,false
5443,3,46656,36,36,36,0.28,3 Metropolis Simulations,1000,409600,947,,false,true,false,false
5444,3,46656,36,36,36,0.28,2 18x36 Wilson Metropolis Simulations,1000,409600,,,false,true,false,false
5445,3,46656,36,36,36,0.29,3 Metropolis Simulations,1000,409600,939,,false,true,false,false
5446,3,46656,36,36,36,0.29,2 18x36 Wilson Metropolis Simulations,1000,409600,,,false,true,false,false
5447,3,46656,36,36,36,0.2,1 12x36 Wilson Metropolis Simulations,1000,409600,,,false,true,false,false
5449,3,46656,36,36,36,0.21,1 12x36 Wilson Metropolis Simulations,1000,409600,,,false,true,false,false
5451,3,46656,36,36,36,0.22,1 12x36 Wilson Metropolis Simulations,1000,409600,,,false,true,false,false
5453,3,46656,36,36,36,0.23,1 12x36 Wilson Metropolis Simulations,1000,409600,,,false,true,false,false
5455,3,46656,36,36,36,0.24,1 12x36 Wilson Metropolis Simulations,1000,409600,,,false,true,false,false
5457,3,46656,36,36,36,0.25,2 12x36 Wilson Metropolis Simulations,1000,409600,,,false,true,false,false
5459,3,46656,36,36,36,0.26,1 12x36 Wilson Metropolis Simulations,1000,409600,,,false,true,false,false
5461,3,46656,36,36,36,0.27,1 12x36 Wilson Metropolis Simulations,1000,409600,,,false,true,false,false
5463,3,46656,36,36,36,0.28,1 12x36 Wilson Metropolis Simulations,1000,409600,,,false,true,false,false
5465,3,46656,36,36,36,0.29,1 12x36 Wilson Metropolis Simulations,1000,409600,,,false,true,false,false
5467,3,4096,16,16,16,0.25,2 1x16 Wilson Metropolis Simulations,1000,409600,,,false,true,false,false
5468,3,4096,16,16,16,0.25,3 2x16 Wilson Metropolis Simulations,1000,409600,,,false,true,false,false
5469,3,4096,16,16,16,0.25,2 3x16 Wilson Metropolis Simulations,1000,409600,,,false,true,false,false
5470,3,4096,16,16,16,0.25,2 4x16 Wilson Metropolis Simulations,1000,409600,,,false,true,false,false
5472,3,4096,16,16,16,0.25,2 6x16 Wilson Metropolis Simulations,1000,409600,,,false,true,false,false
5473,3,4096,16,16,16,0.25,2 7x16 Wilson Metropolis Simulations,1000,409600,,,false,true,false,false
5475,3,4096,16,16,16,0.25,2 9x16 Wilson Metropolis Simulations,1000,409600,,,false,true,false,false
5476,3,4096,16,16,16,0.25,2 10x16 Wilson Metropolis Simulations,1000,409600,,,false,true,false,false
5477,3,4096,16,16,16,0.25,2 11x16 Wilson Metropolis Simulations,1000,409600,,,false,true,false,false
5478,3,4096,16,16,16,0.25,2 12x16 Wilson Metropolis Simulations,1000,409600,,,false,true,false,false
5479,3,4096,16,16,16,0.25,3 13x16 Wilson Metropolis Simulations,1000,409600,,,false,true,false,false
5480,3,4096,16,16,16,0.25,2 14x16 Wilson Metropolis Simulations,1000,409600,,,false,true,false,false
5509,3,46656,36,36,36,0.25,1 1x36 Wilson Metropolis Simulations,1000,409600,,,false,true,false,false
5511,3,46656,36,36,36,0.25,1 2x36 Wilson Metropolis Simulations,1000,409600,,,false,true,false,false
5513,3,46656,36,36,36,0.25,1 3x36 Wilson Metropolis Simulations,1000,409600,,,false,true,false,false
5515,3,46656,36,36,36,0.25,1 4x36 Wilson Metropolis Simulations,1000,409600,,,false,true,false,false
5517,3,46656,36,36,36,0.25,1 5x36 Wilson Metropolis Simulations,1000,409600,,,false,true,false,false
5519,3,46656,36,36,36,0.25,2 6x36 Wilson Metropolis Simulations,1000,409600,,,false,true,false,false
5521,3,46656,36,36,36,0.25,1 7x36 Wilson Metropolis Simulations,1000,409600,,,false,true,false,false
5523,3,46656,36,36,36,0.25,1 8x36 Wilson Metropolis Simulations,1000,409600,,,false,true,false,false
5525,3,46656,36,36,36,0.25,1 9x36 Wilson Metropolis Simulations,1000,409600,,,false,true,false,false
