pos_x,pos_y,arr_x,arr_y
1,0,-3,0
0,1,0,-7
1,0,3,0
1,0,0,0
2,0,1,0
2,1,0,-22
4,0,-8,0
3,1,0,-21
5,0,-26,0
4,1,0,-21
5,0,16,0
5,1,0,-4
7,0,-9,0
6,1,0,-24
7,0,3,0
7,1,0,-3
9,0,-28,0
8,1,0,-1
10,0,-2,0
9,0,0,15
10,0,29,0
10,0,0,9
11,0,9,0
11,1,0,-8
13,0,-9,0
12,1,0,-3
13,0,21,0
13,0,0,10
15,0,-17,0
14,1,0,-10
16,0,-3,0
15,0,0,5
16,0,1,0
16,0,0,0
18,0,-7,0
17,0,0,10
18,0,20,0
18,0,0,10
19,0,9,0
19,1,0,-4
0,1,4,0
0,2,0,-22
2,1,-19,0
1,2,0,-10
2,1,2,0
2,1,0,0
4,1,-8,0
3,1,0,9
5,1,-9,0
4,1,0,9
6,1,-4,0
5,1,0,25
6,1,12,0
6,1,0,22
7,1,5,0
7,1,0,15
9,1,-12,0
8,2,0,-5
10,1,-8,0
9,1,0,10
10,1,12,0
10,1,0,16
11,1,14,0
11,1,0,6
12,1,4,0
12,1,0,3
13,1,1,0
13,2,0,-9
15,1,-2,0
14,2,0,-15
16,1,-8,0
15,2,0,-9
16,1,11,0
16,2,0,-7
18,1,-7,0
17,2,0,-3
18,1,6,0
18,2,0,-9
19,1,6,0
19,2,0,-21
0,2,16,0
0,3,0,-1
2,2,-9,0
1,3,0,-4
2,2,11,0
2,3,0,-16
4,2,-8,0
3,3,0,-16
4,2,7,0
4,3,0,-1
6,2,-7,0
5,3,0,-12
6,2,5,0
6,2,0,6
8,2,-15,0
7,3,0,-15
8,2,3,0
8,3,0,-5
10,2,-2,0
9,3,0,-20
10,2,2,0
10,3,0,-8
11,2,11,0
11,3,0,-19
13,2,-8,0
12,3,0,-15
14,2,-5,0
13,3,0,-6
14,2,4,0
14,2,0,2
16,2,-6,0
15,2,0,5
16,2,15,0
16,2,0,12
18,2,-13,0
17,2,0,2
19,2,-6,0
18,3,0,-4
19,2,5,0
19,2,0,8
0,3,13,0
0,4,0,-2
2,3,-21,0
1,4,0,-10
2,3,11,0
2,3,0,2
3,3,7,0
3,3,0,4
5,3,-4,0
4,4,0,-13
5,3,11,0
5,3,0,6
7,3,-16,0
6,3,0,0
8,3,-5,0
7,3,0,4
9,3,-12,0
8,3,0,4
9,3,10,0
9,3,0,7
11,3,-9,0
10,3,0,7
11,3,15,0
11,3,0,24
12,3,1,0
12,4,0,-3
13,3,3,0
13,3,0,9
14,3,7,0
14,3,0,6
15,3,1,0
15,4,0,-9
16,3,5,0
16,3,0,1
18,3,-19,0
17,4,0,-6
18,3,6,0
18,3,0,14
20,3,-4,0
19,4,0,-5
0,4,5,0
0,4,0,7
2,4,-9,0
1,4,0,9
2,4,13,0
2,4,0,24
4,4,-10,0
3,4,0,7
4,4,15,0
4,4,0,12
5,4,5,0
5,5,0,-9
7,4,-12,0
6,5,0,-11
8,4,-5,0
7,4,0,20
9,4,-9,0
8,4,0,14
9,4,10,0
9,4,0,21
10,4,8,0
10,4,0,1
12,4,-12,0
11,4,0,8
12,4,13,0
12,4,0,6
13,4,0,0
13,4,0,2
15,4,-8,0
14,4,0,5
15,4,11,0
15,5,0,-6
17,4,-2,0
16,4,0,8
17,4,1,0
17,5,0,-1
19,4,-13,0
18,5,0,-5
20,4,-1,0
19,5,0,-4
0,5,7,0
0,5,0,20
1,5,6,0
1,5,0,4
3,5,-4,0
2,6,0,-3
4,5,-5,0
3,6,0,-10
5,5,-6,0
4,5,0,1
5,5,3,0
5,5,0,7
6,5,19,0
6,5,0,4
8,5,-11,0
7,6,0,-12
9,5,-2,0
8,5,0,4
10,5,-10,0
9,5,0,16
10,5,15,0
10,5,0,19
12,5,-14,0
11,6,0,-5
12,5,9,0
12,5,0,6
13,5,3,0
13,6,0,-2
15,5,-19,0
14,6,0,-9
15,5,25,0
15,5,0,16
17,5,-11,0
16,5,0,0
18,5,-3,0
17,5,0,5
19,5,-12,0
18,5,0,3
19,5,10,0
19,5,0,16
1,6,-9,0
0,7,0,-6
2,6,-1,0
1,6,0,3
3,6,-11,0
2,6,0,10
3,6,6,0
3,6,0,13
4,6,0,0
4,6,0,15
5,6,0,0
5,6,0,2
6,6,3,0
6,6,0,3
7,6,5,0
7,6,0,0
8,6,10,0
8,7,0,-13
10,6,-7,0
9,7,0,-7
11,6,-9,0
10,7,0,-18
12,6,-3,0
11,7,0,-2
12,6,1,0
12,7,0,-7
14,6,-4,0
13,6,0,5
14,6,6,0
14,6,0,7
15,6,9,0
15,6,0,5
17,6,-6,0
16,7,0,-15
18,6,-5,0
17,6,0,5
18,6,1,0
18,6,0,17
19,6,14,0
19,6,0,9
0,7,0,0
0,7,0,8
1,7,6,0
1,8,0,-9
3,7,-8,0
2,7,0,7
3,7,8,0
3,7,0,8
5,7,-13,0
4,7,0,0
5,7,1,0
5,7,0,5
6,7,0,0
6,8,0,-4
8,7,-8,0
7,8,0,-7
8,7,16,0
8,7,0,8
10,7,-18,0
9,7,0,4
10,7,7,0
10,7,0,11
12,7,-8,0
11,8,0,-5
12,7,13,0
12,7,0,2
14,7,-2,0
13,8,0,-2
14,7,4,0
14,8,0,-16
16,7,-11,0
15,8,0,-14
16,7,14,0
16,7,0,9
17,7,7,0
17,7,0,1
19,7,-7,0
18,8,0,-14
20,7,-1,0
19,8,0,-7
1,8,-17,0
0,9,0,-18
1,8,22,0
1,9,0,-4
3,8,-7,0
2,8,0,1
3,8,0,0
3,9,0,-7
5,8,-8,0
4,8,0,8
6,8,-8,0
5,9,0,-14
7,8,-3,0
6,8,0,10
7,8,7,0
7,8,0,4
8,8,12,0
8,9,0,-1
10,8,-11,0
9,9,0,-13
11,8,-9,0
10,8,0,0
12,8,-1,0
11,8,0,7
12,8,9,0
12,9,0,-3
14,8,-16,0
13,9,0,-10
14,8,6,0
14,8,0,10
15,8,12,0
15,8,0,5
16,8,6,0
16,8,0,15
18,8,-8,0
17,8,0,6
18,8,0,0
18,8,0,4
19,8,14,0
19,9,0,-6
1,9,-3,0
0,9,0,8
1,9,27,0
1,9,0,11
3,9,-15,0
2,10,0,-17
3,9,15,0
3,10,0,-3
5,9,-30,0
4,10,0,-20
5,9,16,0
5,9,0,2
7,9,-9,0
6,10,0,-12
7,9,2,0
7,10,0,-9
8,9,0,0
8,10,0,-3
9,9,2,0
9,10,0,-11
11,9,-2,0
10,10,0,-12
12,9,-11,0
11,10,0,-2
12,9,2,0
12,9,0,16
13,9,4,0
13,10,0,-2
14,9,1,0
14,10,0,-8
15,9,22,0
15,10,0,-8
17,9,-3,0
16,10,0,-11
18,9,-10,0
17,10,0,-11
19,9,-10,0
18,9,0,14
19,9,2,0
19,9,0,7
0,10,0,0
0,11,0,-15
2,10,-1,0
1,11,0,-9
3,10,-1,0
2,11,0,-14
4,10,-2,0
3,11,0,-9
5,10,-8,0
4,11,0,-10
5,10,2,0
5,10,0,0
7,10,-6,0
6,10,0,2
7,10,8,0
7,11,0,-1
9,10,-8,0
8,10,0,2
9,10,1,0
9,10,0,11
10,10,8,0
10,11,0,-1
11,10,7,0
11,11,0,-5
13,10,-16,0
12,10,0,2
14,10,-2,0
13,10,0,1
14,10,1,0
14,10,0,5
15,10,19,0
15,11,0,-3
17,10,-3,0
16,11,0,-13
17,10,15,0
17,11,0,-20
19,10,-17,0
18,11,0,-26
19,10,3,0
19,10,0,1
0,11,6,0
0,11,0,2
2,11,-6,0
1,11,0,4
2,11,4,0
2,11,0,6
4,11,-3,0
3,11,0,7
4,11,2,0
4,12,0,-2
5,11,4,0
5,12,0,-5
7,11,-9,0
6,12,0,-2
7,11,11,0
7,12,0,-2
8,11,1,0
8,12,0,-11
10,11,-11,0
9,12,0,-1
10,11,4,0
10,11,0,4
11,11,14,0
11,12,0,-10
13,11,-17,0
12,11,0,4
13,11,2,0
13,11,0,2
15,11,-7,0
14,11,0,6
15,11,9,0
15,11,0,5
17,11,-10,0
16,11,0,1
17,11,9,0
17,11,0,16
18,11,10,0
18,11,0,21
20,11,-13,0
19,12,0,-8
0,12,8,0
0,12,0,14
2,12,-4,0
1,12,0,9
2,12,5,0
2,12,0,2
4,12,-12,0
3,12,0,0
5,12,-1,0
4,12,0,4
5,12,7,0
5,13,0,-13
7,12,-9,0
6,13,0,-3
7,12,2,0
7,13,0,-12
8,12,11,0
8,13,0,-5
10,12,-6,0
9,13,0,-2
11,12,-10,0
10,13,0,-3
11,12,28,0
11,12,0,14
13,12,-19,0
12,13,0,-3
13,12,6,0
13,12,0,5
15,12,-8,0
14,13,0,-10
15,12,5,0
15,12,0,19
16,12,5,0
16,12,0,14
17,12,14,0
17,12,0,5
19,12,-19,0
18,13,0,-5
20,12,-3,0
19,12,0,22
0,13,3,0
0,13,0,8
2,13,-11,0
1,13,0,9
2,13,3,0
2,13,0,14
4,13,-8,0
3,13,0,1
5,13,-18,0
4,14,0,-3
5,13,17,0
5,13,0,17
7,13,-18,0
6,14,0,-3
7,13,9,0
7,13,0,20
8,13,14,0
8,13,0,7
10,13,-7,0
9,14,0,-6
10,13,7,0
10,14,0,-4
11,13,11,0
11,13,0,4
13,13,-11,0
12,14,0,-8
14,13,-9,0
13,13,0,3
14,13,21,0
14,13,0,21
15,13,0,0
15,14,0,-4
17,13,-4,0
16,14,0,-8
17,13,4,0
17,14,0,-2
18,13,8,0
18,14,0,-3
20,13,-11,0
19,14,0,-11
0,14,4,0
0,14,0,1
2,14,-6,0
1,15,0,-14
3,14,-10,0
2,15,0,-12
4,14,-12,0
3,15,0,-21
4,14,2,0
4,15,0,-1
6,14,-3,0
5,14,0,7
6,14,5,0
6,15,0,-11
8,14,-4,0
7,15,0,-17
8,14,1,0
8,15,0,-11
10,14,-5,0
9,15,0,-2
10,14,15,0
10,14,0,3
12,14,-1,0
11,14,0,5
12,14,0,0
12,14,0,10
13,14,9,0
13,15,0,-5
15,14,-4,0
14,15,0,-17
16,14,-4,0
15,15,0,-15
16,14,2,0
16,15,0,-7
17,14,3,0
17,15,0,-15
18,14,0,0
18,15,0,-15
19,14,8,0
19,15,0,-3
1,15,-11,0
0,16,0,-16
2,15,-4,0
1,15,0,2
3,15,-19,0
2,15,0,0
3,15,8,0
3,15,0,2
4,15,10,0
4,15,0,3
6,15,-21,0
5,16,0,-7
7,15,-1,0
6,15,0,11
7,15,2,0
7,15,0,16
8,15,10,0
8,15,0,3
9,15,0,0
9,16,0,-1
10,15,17,0
10,16,0,-5
11,15,4,0
11,16,0,-3
13,15,-15,0
12,16,0,-10
14,15,-3,0
13,16,0,-4
15,15,-2,0
14,16,0,-9
15,15,4,0
15,15,0,3
17,15,-6,0
16,15,0,2
17,15,3,0
17,15,0,9
18,15,12,0
18,16,0,-8
19,15,12,0
19,16,0,-14
0,16,7,0
0,16,0,8
2,16,-6,0
1,16,0,1
3,16,-17,0
2,16,0,5
3,16,9,0
3,16,0,29
4,16,0,0
4,16,0,12
6,16,-3,0
5,16,0,10
6,16,4,0
6,16,0,23
8,16,-11,0
7,17,0,-3
8,16,6,0
8,16,0,4
10,16,-4,0
9,17,0,-5
10,16,19,0
10,16,0,5
12,16,-3,0
11,17,0,-17
13,16,-9,0
12,17,0,-25
14,16,-8,0
13,17,0,-11
14,16,10,0
14,16,0,2
15,16,3,0
15,17,0,-1
16,16,1,0
16,17,0,-1
18,16,-14,0
17,17,0,-4
18,16,6,0
18,16,0,11
19,16,10,0
19,16,0,2
0,17,0,0
0,18,0,-15
2,17,-2,0
1,17,0,4
2,17,7,0
2,17,0,4
4,17,-8,0
3,17,0,6
5,17,-2,0
4,18,0,-5
5,17,10,0
5,17,0,1
7,17,-22,0
6,17,0,7
8,17,-4,0
7,17,0,16
9,17,-3,0
8,17,0,8
9,17,6,0
9,17,0,6
11,17,-3,0
10,18,0,-8
12,17,-11,0
11,18,0,-3
12,17,5,0
12,18,0,-5
13,17,5,0
13,17,0,9
14,17,7,0
14,18,0,-2
15,17,3,0
15,18,0,-10
17,17,-2,0
16,17,0,19
17,17,1,0
17,17,0,9
19,17,-3,0
18,17,0,3
19,17,16,0
19,17,0,16
0,18,19,0
0,18,0,25
2,18,-2,0
1,19,0,-1
2,18,9,0
2,18,0,9
4,18,-19,0
3,18,0,6
4,18,4,0
4,18,0,6
5,18,16,0
5,19,0,-6
7,18,-13,0
6,19,0,-15
8,18,-12,0
7,19,0,-3
9,18,-5,0
8,18,0,4
10,18,-8,0
9,18,0,0
10,18,2,0
10,18,0,4
12,18,-13,0
11,18,0,7
12,18,19,0
12,18,0,17
14,18,-6,0
13,18,0,4
15,18,-1,0
14,18,0,11
15,18,32,0
15,18,0,21
17,18,-12,0
16,19,0,-8
18,18,-5,0
17,19,0,-1
18,18,10,0
18,18,0,22
20,18,-15,0
19,18,0,17
1,19,-7,0
0,19,0,1
1,19,8,0
1,19,0,5
2,19,6,0
2,19,0,0
4,19,-19,0
3,20,0,-5
5,19,-8,0
4,19,0,6
5,19,7,0
5,20,0,-12
7,19,-1,0
6,20,0,-3
8,19,-5,0
7,20,0,-11
9,19,-9,0
8,20,0,-3
10,19,-4,0
9,20,0,-22
10,19,5,0
10,20,0,-20
12,19,-3,0
11,19,0,4
12,19,6,0
12,19,0,16
13,19,1,0
13,19,0,1
14,19,9,0
14,19,0,21
15,19,3,0
15,20,0,-5
17,19,-5,0
16,20,0,-11
17,19,18,0
17,20,0,-5
18,19,5,0
18,20,0,-30
20,19,-7,0
19,20,0,-15
