x,y,t,val
0,0,0,2.22179
1,0,0,2.43635
2,0,0,2.48592
3,0,0,2.53744
4,0,0,2.52953
5,0,0,2.55864
6,0,0,2.49208
7,0,0,2.46671
8,0,0,2.41842
9,0,0,2.20701
10,0,0,1.73344
11,0,0,1.68746
12,0,0,1.67573
13,0,0,1.66423
14,0,0,1.66839
15,0,0,1.67464
16,0,0,1.67036
17,0,0,1.65669
18,0,0,1.67676
19,0,0,1.6836
20,0,0,1.6762
21,0,0,1.66855
22,0,0,1.66104
23,0,0,1.65613
24,0,0,1.67803
25,0,0,1.6512
26,0,0,1.66916
27,0,0,1.68207
28,0,0,1.69718
29,0,0,1.68671
30,0,0,1.65838
31,0,0,1.64631
32,0,0,1.66955
33,0,0,1.65552
34,0,0,1.68326
35,0,0,1.66835
36,0,0,1.65213
37,0,0,1.66902
38,0,0,1.66629
39,0,0,1.68145
40,0,0,1.64578
41,0,0,1.68128
42,0,0,1.66464
43,0,0,1.63432
44,0,0,1.64501
45,0,0,1.68086
46,0,0,1.67745
47,0,0,1.69791
48,0,0,1.67871
49,0,0,1.7216
0,1,0,1.6497
1,1,0,1.67378
2,1,0,1.67434
3,1,0,1.69742
4,1,0,1.67129
5,1,0,1.69414
6,1,0,1.67451
7,1,0,1.6701
8,1,0,1.67408
9,1,0,1.67745
10,1,0,1.66243
11,1,0,1.66688
12,1,0,1.66908
13,1,0,1.67577
14,1,0,1.67016
15,1,0,1.65194
16,1,0,1.65567
17,1,0,1.66246
18,1,0,1.69148
19,1,0,1.65227
20,1,0,1.66762
21,1,0,1.65817
22,1,0,1.67719
23,1,0,1.66251
24,1,0,1.67463
25,1,0,1.66322
26,1,0,1.65547
27,1,0,1.65376
28,1,0,1.67874
29,1,0,1.66478
30,1,0,1.66051
31,1,0,1.67123
32,1,0,1.64847
33,1,0,1.65705
34,1,0,1.65016
35,1,0,1.66686
36,1,0,1.67296
37,1,0,1.66387
38,1,0,1.68396
39,1,0,1.67506
40,1,0,1.65867
41,1,0,1.6725
42,1,0,1.65174
43,1,0,1.65411
44,1,0,1.65745
45,1,0,1.65633
46,1,0,1.69604
47,1,0,1.68051
48,1,0,1.6624
49,1,0,1.66432
0,2,0,1.64647
1,2,0,1.6752
2,2,0,1.67683
3,2,0,1.6696
4,2,0,1.67603
5,2,0,1.66802
6,2,0,1.67573
7,2,0,1.65687
8,2,0,1.67031
9,2,0,1.67213
10,2,0,1.65765
11,2,0,1.66169
12,2,0,1.64103
13,2,0,1.67756
14,2,0,1.64912
15,2,0,1.66485
16,2,0,1.66818
17,2,0,1.672
18,2,0,1.6985
19,2,0,1.68235
20,2,0,1.66789
21,2,0,1.66731
22,2,0,1.69447
23,2,0,1.6954
24,2,0,1.67557
25,2,0,1.67688
26,2,0,1.66886
27,2,0,1.66443
28,2,0,1.64808
29,2,0,1.66188
30,2,0,1.65046
31,2,0,1.64103
32,2,0,1.64578
33,2,0,1.67473
34,2,0,1.65621
35,2,0,1.64877
36,2,0,1.69097
37,2,0,1.65169
38,2,0,1.67644
39,2,0,1.69697
40,2,0,1.68349
41,2,0,1.67477
42,2,0,1.67392
43,2,0,1.65924
44,2,0,1.64251
45,2,0,1.63688
46,2,0,1.66686
47,2,0,1.65618
48,2,0,1.66442
49,2,0,1.68088
0,3,0,1.66005
1,3,0,1.6758
2,3,0,1.65521
3,3,0,1.64095
4,3,0,1.68437
5,3,0,1.66674
6,3,0,1.65189
7,3,0,1.66404
8,3,0,1.68704
9,3,0,1.66495
10,3,0,1.68571
11,3,0,1.66194
12,3,0,1.67001
13,3,0,1.67369
14,3,0,1.66235
15,3,0,1.65127
16,3,0,1.69274
17,3,0,1.66081
18,3,0,1.67254
19,3,0,1.6769
20,3,0,1.66318
21,3,0,1.66854
22,3,0,1.67255
23,3,0,1.66171
24,3,0,1.66777
25,3,0,1.67849
26,3,0,1.68376
27,3,0,1.6602
28,3,0,1.6598
29,3,0,1.65835
30,3,0,1.6737
31,3,0,1.67436
32,3,0,1.66507
33,3,0,1.65909
34,3,0,1.69179
35,3,0,1.65461
36,3,0,1.67369
37,3,0,1.63511
38,3,0,1.65485
39,3,0,1.67406
40,3,0,1.67931
41,3,0,1.67072
42,3,0,1.65361
43,3,0,1.66848
44,3,0,1.68598
45,3,0,1.68037
46,3,0,1.66669
47,3,0,1.65557
48,3,0,1.69267
49,3,0,1.6726
0,4,0,1.67138
1,4,0,1.65833
2,4,0,1.64745
3,4,0,1.6519
4,4,0,1.655
5,4,0,1.67252
6,4,0,1.65352
7,4,0,1.6739
8,4,0,1.66975
9,4,0,1.66716
10,4,0,1.66594
11,4,0,1.65584
12,4,0,1.67448
13,4,0,1.67451
14,4,0,1.64967
15,4,0,1.65728
16,4,0,1.66272
17,4,0,1.66062
18,4,0,1.67945
19,4,0,1.66769
20,4,0,1.65821
21,4,0,1.66706
22,4,0,1.66758
23,4,0,1.67247
24,4,0,1.67144
25,4,0,1.69293
26,4,0,1.64607
27,4,0,1.63788
28,4,0,1.64966
29,4,0,1.64988
30,4,0,1.67503
31,4,0,1.66012
32,4,0,1.65706
33,4,0,1.65368
34,4,0,1.66087
35,4,0,1.66129
36,4,0,1.65652
37,4,0,1.68027
38,4,0,1.6593
39,4,0,1.68591
40,4,0,1.64384
41,4,0,1.66942
42,4,0,1.6418
43,4,0,1.64738
44,4,0,1.68416
45,4,0,1.65362
46,4,0,1.67269
47,4,0,1.67504
48,4,0,1.67207
49,4,0,1.67207
0,5,0,1.69107
1,5,0,1.65832
2,5,0,1.66506
3,5,0,1.68148
4,5,0,1.6491
5,5,0,1.64723
6,5,0,1.67785
7,5,0,1.67623
8,5,0,1.66377
9,5,0,1.63996
10,5,0,1.6627
11,5,0,1.6862
12,5,0,1.67143
13,5,0,1.67934
14,5,0,1.66288
15,5,0,1.64755
16,5,0,1.68176
17,5,0,1.67566
18,5,0,1.65441
19,5,0,1.67265
20,5,0,1.65331
21,5,0,1.6734
22,5,0,1.66474
23,5,0,1.65995
24,5,0,1.66962
25,5,0,1.68956
26,5,0,1.65028
27,5,0,1.67843
28,5,0,1.66942
29,5,0,1.67248
30,5,0,1.66966
31,5,0,1.66817
32,5,0,1.6866
33,5,0,1.6504
34,5,0,1.66323
35,5,0,1.6757
36,5,0,1.66151
37,5,0,1.65132
38,5,0,1.67802
39,5,0,1.68988
40,5,0,1.65752
41,5,0,1.66669
42,5,0,1.65287
43,5,0,1.65127
44,5,0,1.67881
45,5,0,1.66731
46,5,0,1.65852
47,5,0,1.67204
48,5,0,1.66805
49,5,0,1.66177
0,6,0,1.66686
1,6,0,1.65168
2,6,0,1.66891
3,6,0,1.67662
4,6,0,1.68839
5,6,0,1.66817
6,6,0,1.67142
7,6,0,1.68895
8,6,0,1.65786
9,6,0,1.66616
10,6,0,1.66583
11,6,0,1.67817
12,6,0,1.6576
13,6,0,1.65212
14,6,0,1.65878
15,6,0,1.65208
16,6,0,1.67122
17,6,0,1.69129
18,6,0,1.68266
19,6,0,1.68326
20,6,0,1.65616
21,6,0,1.65705
22,6,0,1.66593
23,6,0,1.6614
24,6,0,1.65623
25,6,0,1.6789
26,6,0,1.68028
27,6,0,1.67888
28,6,0,1.66556
29,6,0,1.65579
30,6,0,1.64562
31,6,0,1.68255
32,6,0,1.66902
33,6,0,1.66814
34,6,0,1.67019
35,6,0,1.65482
36,6,0,1.64023
37,6,0,1.63979
38,6,0,1.70044
39,6,0,1.66497
40,6,0,1.65291
41,6,0,1.64545
42,6,0,1.64709
43,6,0,1.66734
44,6,0,1.6575
45,6,0,1.67471
46,6,0,1.66216
47,6,0,1.66737
48,6,0,1.65945
49,6,0,1.67207
0,7,0,1.64417
1,7,0,1.65727
2,7,0,1.68186
3,7,0,1.68337
4,7,0,1.68818
5,7,0,1.65419
6,7,0,1.66067
7,7,0,1.67461
8,7,0,1.66858
9,7,0,1.66307
10,7,0,1.69105
11,7,0,1.66022
12,7,0,1.6577
13,7,0,1.67341
14,7,0,1.64743
15,7,0,1.64432
16,7,0,1.67523
17,7,0,1.66992
18,7,0,1.6462
19,7,0,1.66044
20,7,0,1.66448
21,7,0,1.66727
22,7,0,1.65212
23,7,0,1.69158
24,7,0,1.67231
25,7,0,1.65066
26,7,0,1.66855
27,7,0,1.68447
28,7,0,1.66375
29,7,0,1.65159
30,7,0,1.64498
31,7,0,1.65768
32,7,0,1.6498
33,7,0,1.68558
34,7,0,1.6729
35,7,0,1.6411
36,7,0,1.65866
37,7,0,1.65273
38,7,0,1.66825
39,7,0,1.66963
40,7,0,1.67428
41,7,0,1.68955
42,7,0,1.67358
43,7,0,1.66309
44,7,0,1.64886
45,7,0,1.67372
46,7,0,1.66049
47,7,0,1.65501
48,7,0,1.64781
49,7,0,1.67568
0,8,0,1.66639
1,8,0,1.64503
2,8,0,1.67402
3,8,0,1.66556
4,8,0,1.67921
5,8,0,1.66917
6,8,0,1.65186
7,8,0,1.67263
8,8,0,1.66646
9,8,0,1.65762
10,8,0,1.66659
11,8,0,1.67452
12,8,0,1.65956
13,8,0,1.64635
14,8,0,1.65772
15,8,0,1.67267
16,8,0,1.65524
17,8,0,1.68262
18,8,0,1.64186
19,8,0,1.68655
20,8,0,1.68286
21,8,0,1.65729
22,8,0,1.66541
23,8,0,1.64936
24,8,0,1.66275
25,8,0,1.66594
26,8,0,1.67268
27,8,0,1.68732
28,8,0,1.68534
29,8,0,1.6659
30,8,0,1.66631
31,8,0,1.67563
32,8,0,1.68027
33,8,0,1.68318
34,8,0,1.69178
35,8,0,1.65123
36,8,0,1.67626
37,8,0,1.66921
38,8,0,1.66964
39,8,0,1.66738
40,8,0,1.66751
41,8,0,1.67791
42,8,0,1.64359
43,8,0,1.67252
44,8,0,1.64688
45,8,0,1.66105
46,8,0,1.6686
47,8,0,1.68253
48,8,0,1.66672
49,8,0,1.67547
0,9,0,1.65219
1,9,0,1.67424
2,9,0,1.65498
3,9,0,1.66947
4,9,0,1.69985
5,9,0,1.6745
6,9,0,1.66577
7,9,0,1.67708
8,9,0,1.6655
9,9,0,1.6938
10,9,0,1.65163
11,9,0,1.66144
12,9,0,1.65155
13,9,0,1.6674
14,9,0,1.69004
15,9,0,1.67121
16,9,0,1.68086
17,9,0,1.65267
18,9,0,1.67611
19,9,0,1.68727
20,9,0,1.68811
21,9,0,1.6647
22,9,0,1.67898
23,9,0,1.68214
24,9,0,1.67775
25,9,0,1.68215
26,9,0,1.68035
27,9,0,1.67578
28,9,0,1.66866
29,9,0,1.65094
30,9,0,1.66224
31,9,0,1.65877
32,9,0,1.702
33,9,0,1.68959
34,9,0,1.67035
35,9,0,1.64744
36,9,0,1.67804
37,9,0,1.6599
38,9,0,1.65052
39,9,0,1.65125
40,9,0,1.66702
41,9,0,1.68021
42,9,0,1.68218
43,9,0,1.65912
44,9,0,1.66695
45,9,0,1.67633
46,9,0,1.6524
47,9,0,1.6515
48,9,0,1.67473
49,9,0,1.66676
0,10,0,1.65991
1,10,0,1.6572
2,10,0,1.6732
3,10,0,1.6726
4,10,0,1.66064
5,10,0,1.65904
6,10,0,1.68519
7,10,0,1.68132
8,10,0,1.68643
9,10,0,1.66333
10,10,0,1.65514
11,10,0,1.66949
12,10,0,1.68765
13,10,0,1.66422
14,10,0,1.65832
15,10,0,1.67538
16,10,0,1.65352
17,10,0,1.65843
18,10,0,1.66385
19,10,0,1.66794
20,10,0,1.67705
21,10,0,1.65436
22,10,0,1.64305
23,10,0,1.69192
24,10,0,1.68131
25,10,0,1.66924
26,10,0,1.66736
27,10,0,1.67087
28,10,0,1.68378
29,10,0,1.66691
30,10,0,1.66806
31,10,0,1.66601
32,10,0,1.66673
33,10,0,1.65722
34,10,0,1.67534
35,10,0,1.67846
36,10,0,1.67406
37,10,0,1.67309
38,10,0,1.67101
39,10,0,1.67215
40,10,0,1.67372
41,10,0,1.66016
42,10,0,1.68756
43,10,0,1.66751
44,10,0,1.65886
45,10,0,1.65585
46,10,0,1.6828
47,10,0,1.65432
48,10,0,1.67005
49,10,0,1.66902
0,11,0,1.67286
1,11,0,1.67282
2,11,0,1.67146
3,11,0,1.63965
4,11,0,1.66162
5,11,0,1.67367
6,11,0,1.68522
7,11,0,1.67013
8,11,0,1.66504
9,11,0,1.63328
10,11,0,1.67339
11,11,0,1.69692
12,11,0,1.66891
13,11,0,1.66427
14,11,0,1.66544
15,11,0,1.6661
16,11,0,1.67188
17,11,0,1.69278
18,11,0,1.66052
19,11,0,1.6587
20,11,0,1.66858
21,11,0,1.66071
22,11,0,1.66274
23,11,0,1.67856
24,11,0,1.66161
25,11,0,1.63338
26,11,0,1.66516
27,11,0,1.66163
28,11,0,1.69071
29,11,0,1.68361
30,11,0,1.69232
31,11,0,1.65021
32,11,0,1.66675
33,11,0,1.67915
34,11,0,1.63027
35,11,0,1.67596
36,11,0,1.66673
