index,d,size,x,y,t,temp,comptype,burnin,iterations,duration,algorithm_statistic,action_data,energy_data,difference_data,correlation_data
0,3,4096,16,16,16,0.22,Metropolis Simulation,0,20000,2,,true,false,false,false
1,3,4096,16,16,16,0.23,Metropolis Simulation,0,20000,2,,true,false,false,false
2,3,4096,16,16,16,0.24,Metropolis Simulation,0,20000,2,,true,false,false,false
3,3,4096,16,16,16,0.25,Metropolis Simulation,0,20000,2,,true,false,false,false
4,3,4096,16,16,16,0.26,Metropolis Simulation,0,20000,2,,true,false,false,false
5,3,4096,16,16,16,0.27,Metropolis Simulation,0,20000,2,,true,false,false,false
6,3,157464,54,54,54,0.22,Metropolis Simulation,0,20000,97,,true,false,false,false
7,3,157464,54,54,54,0.23,Metropolis Simulation,0,20000,97,,true,false,false,false
8,3,157464,54,54,54,0.24,Metropolis Simulation,0,20000,95,,true,false,false,false
9,3,157464,54,54,54,0.25,Metropolis Simulation,0,20000,95,,true,false,false,false
10,3,157464,54,54,54,0.26,Metropolis Simulation,0,20000,97,,true,false,false,false
11,3,157464,54,54,54,0.27,Metropolis Simulation,0,20000,95,,true,false,false,false
12,3,4096,16,16,16,0.22,Metropolis Simulation,1000,200000,29,,true,false,false,true
13,3,4096,16,16,16,0.23,Metropolis Simulation,1000,200000,28,,true,false,false,true
14,3,4096,16,16,16,0.24,Metropolis Simulation,1000,200000,28,,true,false,false,true
15,3,4096,16,16,16,0.25,Metropolis Simulation,1000,200000,28,,true,false,false,true
16,3,4096,16,16,16,0.26,Metropolis Simulation,1000,200000,28,,true,false,false,true
17,3,4096,16,16,16,0.27,Metropolis Simulation,1000,200000,28,,true,false,false,true
18,3,4096,16,16,16,0.22,Metropolis Simulation,1000,200000,29,,true,false,false,true
19,3,4096,16,16,16,0.23,Metropolis Simulation,1000,200000,29,,true,false,false,true
20,3,4096,16,16,16,0.24,Metropolis Simulation,1000,200000,28,,true,false,false,true
21,3,4096,16,16,16,0.25,Metropolis Simulation,1000,200000,28,,true,false,false,true
22,3,4096,16,16,16,0.26,Metropolis Simulation,1000,200000,28,,true,false,false,true
23,3,4096,16,16,16,0.27,Metropolis Simulation,1000,200000,28,,true,false,false,true
24,3,4096,16,16,16,0.22,Metropolis Simulation,1000,200000,28,,true,false,false,true
25,3,4096,16,16,16,0.23,Metropolis Simulation,1000,200000,28,,true,false,false,true
26,3,4096,16,16,16,0.24,Metropolis Simulation,1000,200000,28,,true,false,false,true
27,3,4096,16,16,16,0.25,Metropolis Simulation,1000,200000,28,,true,false,false,true
28,3,4096,16,16,16,0.26,Metropolis Simulation,1000,200000,28,,true,false,false,true
29,3,4096,16,16,16,0.27,Metropolis Simulation,1000,200000,28,,true,false,false,true
30,3,4096,16,16,16,0.22,Metropolis Simulation,1000,200000,29,,true,false,false,true
31,3,4096,16,16,16,0.23,Metropolis Simulation,1000,200000,29,,true,false,false,true
32,3,4096,16,16,16,0.24,Metropolis Simulation,1000,200000,28,,true,false,false,true
33,3,4096,16,16,16,0.25,Metropolis Simulation,1000,200000,28,,true,false,false,true
34,3,4096,16,16,16,0.26,Metropolis Simulation,1000,200000,28,,true,false,false,true
35,3,4096,16,16,16,0.27,Metropolis Simulation,1000,200000,28,,true,false,false,true
36,3,4096,16,16,16,0.22,Metropolis Simulation,1000,200000,28,,true,false,false,true
37,3,4096,16,16,16,0.23,Metropolis Simulation,1000,200000,28,,true,false,false,true
38,3,4096,16,16,16,0.24,Metropolis Simulation,1000,200000,28,,true,false,false,true
39,3,4096,16,16,16,0.25,Metropolis Simulation,1000,200000,28,,true,false,false,true
40,3,4096,16,16,16,0.26,Metropolis Simulation,1000,200000,28,,true,false,false,true
41,3,4096,16,16,16,0.27,Metropolis Simulation,1000,200000,27,,true,false,false,true
42,3,4096,16,16,16,0.22,Metropolis Simulation,1000,200000,28,,true,false,false,true
43,3,4096,16,16,16,0.23,Metropolis Simulation,1000,200000,28,,true,false,false,true
44,3,4096,16,16,16,0.24,Metropolis Simulation,1000,200000,28,,true,false,false,true
45,3,4096,16,16,16,0.25,Metropolis Simulation,1000,200000,28,,true,false,false,true
46,3,4096,16,16,16,0.26,Metropolis Simulation,1000,200000,28,,true,false,false,true
47,3,4096,16,16,16,0.27,Metropolis Simulation,1000,200000,28,,true,false,false,true
48,3,4096,16,16,16,0.22,Metropolis Simulation,1000,200000,29,,true,false,false,true
49,3,4096,16,16,16,0.23,Metropolis Simulation,1000,200000,29,,true,false,false,true
50,3,4096,16,16,16,0.24,Metropolis Simulation,1000,200000,28,,true,false,false,true
51,3,4096,16,16,16,0.25,Metropolis Simulation,1000,200000,28,,true,false,false,true
52,3,4096,16,16,16,0.26,Metropolis Simulation,1000,200000,28,,true,false,false,true
53,3,4096,16,16,16,0.27,Metropolis Simulation,1000,200000,28,,true,false,false,true
54,3,4096,16,16,16,0.22,Metropolis Simulation,1000,200000,28,,true,false,false,true
55,3,4096,16,16,16,0.23,Metropolis Simulation,1000,200000,29,,true,false,false,true
56,3,4096,16,16,16,0.24,Metropolis Simulation,1000,200000,28,,true,false,false,true
57,3,4096,16,16,16,0.25,Metropolis Simulation,1000,200000,28,,true,false,false,true
58,3,4096,16,16,16,0.26,Metropolis Simulation,1000,200000,28,,true,false,false,true
59,3,4096,16,16,16,0.27,Metropolis Simulation,1000,200000,28,,true,false,false,true
60,3,4096,16,16,16,0.22,Metropolis Simulation,1000,200000,28,,true,false,false,true
61,3,4096,16,16,16,0.23,Metropolis Simulation,1000,200000,28,,true,false,false,true
62,3,4096,16,16,16,0.24,Metropolis Simulation,1000,200000,28,,true,false,false,true
63,3,4096,16,16,16,0.25,Metropolis Simulation,1000,200000,28,,true,false,false,true
64,3,4096,16,16,16,0.26,Metropolis Simulation,1000,200000,28,,true,false,false,true
65,3,4096,16,16,16,0.27,Metropolis Simulation,1000,200000,27,,true,false,false,true
66,3,4096,16,16,16,0.22,Metropolis Simulation,1000,200000,28,,true,false,false,true
67,3,4096,16,16,16,0.23,Metropolis Simulation,1000,200000,29,,true,false,false,true
68,3,4096,16,16,16,0.24,Metropolis Simulation,1000,200000,29,,true,false,false,true
69,3,4096,16,16,16,0.25,Metropolis Simulation,1000,200000,28,,true,false,false,true
70,3,4096,16,16,16,0.26,Metropolis Simulation,1000,200000,28,,true,false,false,true
71,3,4096,16,16,16,0.27,Metropolis Simulation,1000,200000,28,,true,false,false,true
