index,d,size,x,y,t,temp,comptype,burnin,iterations,duration,algorithm_statistic,action_data,energy_data,difference_data,correlation_data
0,3,4096,16,16,16,0.21,10 Metropolis Simulations,1000,409600,180,,false,false,false,true
1,3,4096,16,16,16,0.22,10 Metropolis Simulations,1000,409600,180,,false,false,false,true
2,3,4096,16,16,16,0.225,10 Metropolis Simulations,1000,409600,180,,false,false,false,true
3,3,4096,16,16,16,0.23,10 Metropolis Simulations,1000,409600,179,,false,false,false,true
4,3,4096,16,16,16,0.2325,10 Metropolis Simulations,1000,409600,179,,false,false,false,true
5,3,4096,16,16,16,0.235,10 Metropolis Simulations,1000,409600,179,,false,false,false,true
6,3,4096,16,16,16,0.2375,10 Metropolis Simulations,1000,409600,179,,false,false,false,true
7,3,4096,16,16,16,0.24,10 Metropolis Simulations,1000,409600,179,,false,false,false,true
8,3,4096,16,16,16,0.2425,10 Metropolis Simulations,1000,409600,179,,false,false,false,true
9,3,4096,16,16,16,0.245,10 Metropolis Simulations,1000,409600,179,,false,false,false,true
10,3,4096,16,16,16,0.2475,10 Metropolis Simulations,1000,409600,179,,false,false,false,true
11,3,4096,16,16,16,0.25,100 Metropolis Simulations,1000,409600,179,,false,false,false,true
12,3,4096,16,16,16,0.2525,100 Metropolis Simulations,1000,409600,179,,false,false,false,true
13,3,4096,16,16,16,0.255,100 Metropolis Simulations,1000,409600,179,,false,false,false,true
14,3,4096,16,16,16,0.2575,100 Metropolis Simulations,1000,409600,178,,false,false,false,true
15,3,4096,16,16,16,0.26,100 Metropolis Simulations,1000,409600,179,,false,false,false,true
16,3,4096,16,16,16,0.265,100 Metropolis Simulations,1000,409600,179,,false,false,false,true
17,3,4096,16,16,16,0.27,100 Metropolis Simulations,1000,409600,179,,false,false,false,true
18,3,4096,16,16,16,0.28,100 Metropolis Simulations,1000,409600,179,,false,false,false,true
190,3,13824,24,24,24,0.21,10 Metropolis Simulations,1000,409600,599,,false,false,false,true
