name,temp,burnin,iterations,observable,error
5x5x5 Cluster Simulation,0.1,10000,10000000,407.42672857998696,0.23576638569408725
5x5x5 Metropolis Simulation,0.1,10000,10000000,62.007480979996195,0.0055065155029296875
5x5x5 Cluster Simulation,0.01,10000,10000000,379.40080940196293,0.10473090684000397
5x5x5 Metropolis Simulation,0.01,10000,10000000,61.976855698011924,0.01193683185016925
5x5x5 Cluster Simulation,0.8,10000,10000000,1176.7201870347867,23.557604861296227
5x5x5 Metropolis Simulation,0.8,10000,10000000,11.05308479939771,0.004406964893564621
5x5x5 Cluster Simulation,1.5,10000,10000000,150286.044159,188.10136987654732
5x5x5 Metropolis Simulation,1.5,10000,10000000,0.2783733,0.0009245574474334717
5x5x5 Cluster Simulation,1.5,10000,10000000,181.523847,
5x5x5 Metropolis Simulation,1.5,10000,10000000,0.2797524,
5x5x5 Cluster Simulation,0.1,10000,10000000,412.0129362399991,
5x5x5 Metropolis Simulation,0.1,10000,10000000,61.99840082000172,
5x5x5 Cluster Simulation,0.1,10000,10000000,414.3358193799637,
5x5x5 Metropolis Simulation,0.1,10000,10000000,62.00224009999305,
"5x5x5 Cluster Simulation, Size normalized",0.1,10000,1000000,3.7767141823997274,
"5x5x5 Metropolis Simulation, Size normalized",0.1,10000,1000000,0.49588365120000566,
"8x8x8 Cluster Simulation, Size normalized",0.1,10000,1000000,7.629290955468957,
"8x8x8 Metropolis Simulation, Size normalized",0.1,10000,1000000,0.4991353027343714,
