index,temp,size,bin_size,string_tension,gamma,offset
6057,0.2,16,1,3.0056910693359065,0.0,679.9482645629882
6057,0.2,16,2,3.0062148219209277,0.0,679.9441800939222
6057,0.2,16,4,3.0055855083869467,0.0,679.9481990085015
6057,0.2,16,8,3.0049594574333547,0.0,679.9564401125917
6057,0.2,16,16,3.0058123598345503,0.0,679.9495663249652
6057,0.2,16,32,3.0073918692554926,0.0,679.9362059745517
6061,0.21,16,1,3.189463876335566,0.0,679.6029371939122
6061,0.21,16,2,3.188755193589138,0.0,679.6076511757882
6061,0.21,16,4,3.1920099583524646,0.0,679.5832701216535
6061,0.21,16,8,3.192219242086967,0.0,679.5779982493177
6061,0.21,16,16,3.1921955468175263,0.0,679.5823019616985
6061,0.21,16,32,3.191796553452427,0.0,679.5924604930489
6065,0.22,16,1,3.324102868192778,0.0,679.6396606677102
6065,0.22,16,2,3.3235236829331107,0.0,679.644256362879
6065,0.22,16,4,3.3242295005744253,0.0,679.6366469318416
6065,0.22,16,8,3.3247165826344123,0.0,679.634208751163
6065,0.22,16,16,3.325744562586131,0.0,679.6237740341367
6065,0.22,16,32,3.326966609001598,0.0,679.6101880141025
6069,0.23,16,1,3.5079334026165867,0.0,679.0829008892678
6069,0.23,16,2,3.5089725529354148,0.0,679.0770490145478
6069,0.23,16,4,3.508844160601427,0.0,679.0732760880342
6069,0.23,16,8,3.5071023449563157,0.0,679.0920147362131
6069,0.23,16,16,3.5088546696777065,0.0,679.07221550354
6069,0.23,16,32,3.508311083610952,0.0,679.0790370294835
6073,0.24,16,1,3.668965633386943,0.0,678.6305897028374
6073,0.24,16,2,3.6681537735523655,0.0,678.6358547362706
6073,0.24,16,4,3.668135254135983,0.0,678.6377867909007
6073,0.24,16,8,3.670015449678285,0.0,678.6226303523092
6073,0.24,16,16,3.668602752642446,0.0,678.637304756491
6073,0.24,16,32,3.6656942857306802,0.0,678.6559693864315
6077,0.25,16,1,3.831979555376801,0.0,678.1533675495821
6077,0.25,16,2,3.831914915556041,0.0,678.153226486924
6077,0.25,16,4,3.834092311006433,0.0,678.1329633507222
6077,0.25,16,8,3.8330889056037165,0.0,678.1468198599423
6077,0.25,16,16,3.8313787522259695,0.0,678.162542981675
6077,0.25,16,32,3.8335424808277523,0.0,678.1434093473545
6081,0.26,16,1,4.003967866670486,0.0,677.3710060356586
6081,0.26,16,2,4.003530463120374,0.0,677.3731788538889
6081,0.26,16,4,4.00488348173252,0.0,677.3623992942898
6081,0.26,16,8,4.006180527458628,0.0,677.3454550238681
6081,0.26,16,16,4.005261826315483,0.0,677.3535512111098
6081,0.26,16,32,4.004435773695995,0.0,677.365250275017
6085,0.27,16,1,4.282318841954822,0.0,675.5072544225283
6085,0.27,16,2,4.281933533203109,0.0,675.5102259708251
